id,panas_type,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu
67,posminusneg_noCloseResponse,0.590609885968316,-1.67679775955509,-3.4041628691296,0.57515037714409,-1.64449010300837,-2.32912952644295,0.570126194432653,-1.60983793370755,-2.34017574523254,-5.06722225850448,-4.97123096391786,-4.41151362587405,-4.39735738118508,0.621323305265498,-1.70529808852568,-2.13716802753703
68,posminusneg_noCloseResponse,0.628930670298149,-2.23086660628935,-3.83719486108918,0.605544233026589,-2.2878073572359,-4.75132880110928,0.605534784161997,-2.25817043596565,-4.74686034029947,-5.35128451384829,-5.33037378198367,-4.46850057765667,-4.46141234998617,0.605555188307976,-2.28088103038178,-4.75377763560007
69,posminusneg_noCloseResponse,0.703677439645214,-2.2465034556109,-3.48451705890983,0.671393052657827,-2.44914548627825,-4.74978928732674,0.671372909970778,-2.44591301440666,-4.74547652103392,-5.34868165839302,-5.32769073348591,-4.58662506169201,-4.54906343943111,0.671576507514138,-2.41811716026803,-4.74403124117404
70,posminusneg_noCloseResponse,0.606094582333049,-1.87136886157774,-4.04869863819497,0.605487017226895,-1.77317367921854,-4.37611444116006,0.605107439177019,-1.73204720909542,-4.37005037025859,-4.83827974101075,-4.87187310543266,-4.24861363875237,-4.30860649163246,0.606113851161795,-1.7863072309009,-4.35960976668925
71,posminusneg_noCloseResponse,0.542414455520103,-1.28952413478119,-4.47508725497795,0.537680851194498,-1.13045635121403,-4.64097400233623,0.537690187580374,-1.16171066858246,-4.60768780009438,-5.25254575504778,-5.21678583405921,-4.56281580051875,-4.54940967056838,0.537119163832388,-1.13964361487097,-4.66637116982034
72,posminusneg_noCloseResponse,0.728212206003797,-1.48940612013442,-4.48078815349231,0.7315749830322,-1.45095191057459,-4.71365676840733,0.731360687307133,-1.45274296674352,-4.71599007373196,-5.30846899406426,-5.29476190819594,-4.61148392512127,-4.58563427935605,0.731055772430725,-1.4751229902473,-4.73627518757107
73,posminusneg_noCloseResponse,0.669836457329625,-1.21426838701688,-4.47445038300483,0.670662859953689,-1.12208713925273,-4.68230993391646,0.672124345011909,-1.13672276694193,-4.64127320655619,-5.28778587338175,-5.2532790064081,-4.58998917585731,-4.55684992033253,0.671225173771202,-1.1376624824595,-4.71401653605321
74,posminusneg_noCloseResponse,0.650315133406072,-1.90542927048707,-3.21578178789348,0.606614069146067,-2.15980667265832,-3.20268197292626,0.608692095315005,-2.08661681835804,-3.09871803940421,-3.01263912757869,-3.31751762275125,-3.47946645461735,-3.60289297879872,0.605952422409595,-2.28797840762754,-3.3830691519635
75,posminusneg_noCloseResponse,0.608885419294705,-1.68053306808428,-4.14656061905019,0.610146187228947,-1.60463028560856,-4.57282818666289,0.608686233129206,-1.58819279542786,-4.60604944073428,-5.24263683747038,-5.24007268245692,-4.51717512657636,-4.49738859723034,0.622397181607376,-1.58000017235342,-4.18210935733877
76,posminusneg_noCloseResponse,0.564443859907226,-1.64641143320775,-3.0016048837244,0.545488084800859,-1.38130944914855,-2.7977599214009,0.567929395710161,-1.32143888049504,-3.29651580741331,-5.31054436460705,-5.26025644856515,-3.85126800433356,-3.83201349111186,0.531600192511801,-1.49979473472539,-2.32838085444665
