subject,run,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu,subj_day_block
188,d1r1,0.60221553180975,-1.89962160850959,-4.2765350237782,0.605516749841205,-2.54875822345159,-4.7474211262546,0.605469998119813,-2.45801945148941,-4.7413204567198,-5.34061953380502,-5.31819454985511,0.50298752012983,0.490704982422758,0.605530351040451,-2.7427964260443,-4.75228826498702,5f2c1f30ea187a07509579f2_day1_block1
188,d1r2,0.467177733371725,-1.74594265945721,-4.27888400260254,0.464967422533734,-1.86613400041138,-4.72478760791977,0.46494362250774,-1.85673935089414,-4.72043330390823,-5.315777949674,-5.29520333326705,-4.67122393533165,-4.65734851702183,0.464984886878641,-1.87292426368485,-4.72782721667072,5f2c1f30ea187a07509579f2_day1_block2
188,d2r1,0.462049748737561,-1.77885013667171,-4.05759513005904,0.46541519978852,-1.81094207480843,-4.64051952590227,0.465400771449294,-1.80020801551059,-4.63351828499339,-5.18129502590494,-5.16122872751295,-4.63032430361883,-4.61613897554849,0.465420236570044,-1.81905448764395,-4.64515503496784,5f2c1f30ea187a07509579f2_day2_block1
188,d2r2,0.523525572953807,-1.63922578065595,-4.0422432583742,0.530409391122288,-1.74155156325677,-4.54920473632533,0.530120732624902,-1.73280874571568,-4.52835129521119,-5.24645827091072,-5.23115155885896,-4.54852934779929,-4.53266598707162,0.530615905327462,-1.74775702636725,-4.56395673370249,5f2c1f30ea187a07509579f2_day2_block2
189,d1r1,0.555551015249092,-1.25192728910563,-3.78073893365933,0.511707145184064,-1.27876681700425,-3.36467401633851,0.502178999422161,-1.10122553546334,-3.32918069892629,-5.14191314432555,-5.03638733900034,-1.74311653296967,-2.12845898932789,0.515829208328411,-1.44799546113239,-3.58610550542467,5f2c7d1842bb7516c964eb96_day1_block1
189,d1r2,0.528291443095488,-1.2193607758083,-3.14498663666142,0.385138914368613,-1.18334132724127,-0.906001166163592,0.333819436555465,-1.10232464459872,-1.22862213496826,-2.12598019757005,-2.48608384436391,-3.1615238436084,-2.50356773879957,0.490169915182722,-1.34088650100399,-1.12390644456807,5f2c7d1842bb7516c964eb96_day1_block2
189,d2r1,0.482802146384745,-1.24241023527177,-2.62684581897426,0.36469046621798,-1.24175109172104,-1.42835326705039,0.365025155003131,-1.16279275090188,-1.90425632822667,-5.59977026366733,-5.44236511995563,-4.38787916823602,-4.38604007222534,0.449159153931718,-1.29075818964565,-1.38303724647385,5f2c7d1842bb7516c964eb96_day2_block1
190,d1r1,0.636142007716982,-0.597685232233786,-3.47957379084619,0.623857021932282,-0.768301386977774,-4.49141351223908,0.616031944908437,-0.863219998916874,-4.50063054370171,-5.18729071030378,-5.1745689753442,-0.319560940910832,0.432804019745803,0.63641240811493,-0.610339076265078,-4.47363634671609,5f2d69e6bbc85f01298fbcb0_day1_block1
190,d1r2,0.631774070589231,-1.42129549134924,-1.41249620443561,0.631693390388748,-1.19590577164831,-2.2386685093945,0.624987349827997,-1.32949160937478,-1.89075670438265,-3.06022724665759,-3.58253722608918,-3.7826855549473,-3.83281240437267,0.645102296177353,-1.16061540325053,-2.47544219258833,5f2d69e6bbc85f01298fbcb0_day1_block2
190,d2r1,0.756246138373245,-0.89776831538421,-3.71126875934657,0.736728900642755,-0.849783801417504,-4.11517161035265,0.751363447809656,-0.81471589532626,-4.26840918309873,-4.99755144153147,-5.0600422941414704,-4.3758087052003,-4.44901689463082,0.729586465149096,-0.928646501625797,-4.06622867858133,5f2d69e6bbc85f01298fbcb0_day2_block1
190,d2r2,0.75615588075366,-1.09167654010163,-2.20378142112425,0.727660564918536,-1.13766004972254,-1.55562121516141,0.691826550692676,-1.11844984146793,-1.56872336881429,-5.61543643309344,-5.5674728120809,-4.46642537628167,-4.45055408373039,0.693700356493208,-1.08477804716545,-1.56990012373396,5f2d69e6bbc85f01298fbcb0_day2_block2
191,d1r1,0.598241799707075,-1.42624283294779,-2.85602710961857,0.511432373551563,-1.75805803766704,-2.12790639766904,0.527988925189928,-1.76756732694573,-2.15240329293946,-4.93578623809408,-5.13483622609563,-1.90005173565843,-1.58518394330297,0.510375342217458,-1.78233079731247,-2.23838157258316,5f2e0553d21e3216a80457b2_day1_block1
191,d1r2,0.499176379385113,-2.179413047653,-2.37467154074057,0.426028039572648,-2.25258434317088,-2.00309718177201,0.461669562434146,-2.07290370869593,-2.02130179200674,-5.94124269552682,-5.88326247626618,-2.76592760046707,-2.74249402653166,0.470524404858982,-2.00629136718576,-1.99291954961034,5f2e0553d21e3216a80457b2_day1_block2
191,d2r1,0.486289940909994,-1.72330474495309,-2.53781069797119,0.432197591542462,-1.60134685203054,-1.78326144325805,0.4159278015153,-1.72234849906819,-1.76905368956885,-5.43123024800774,-5.38710269023909,-3.82971812442973,-3.92495235453829,0.417333077568391,-1.4461963864425,-1.88533092163726,5f2e0553d21e3216a80457b2_day2_block1
191,d2r2,0.627725401556722,-1.65157599450951,-2.8250901336277,0.673424014905579,-1.84590835993327,-3.92251040169235,0.674651991478537,-1.86012086512283,-3.74309578220164,-0.928278453551014,-1.10156975766439,-4.55712941977818,-4.52347207851093,0.673785335836653,-1.86219896629722,-4.02433900689694,5f2e0553d21e3216a80457b2_day2_block2
